                
  Z                     H [1/MPC]               COMOV. DIST.        ANG.DIAM.DIST.          LUM. DIST.              GR.FAC. D               GR.FAC. F             
  40380233694596.26     3.517888470255026e+21   13895.564132072739  3.4411797210405745e-10  5.611061269713607e+17   9.833905285809624e-06   1.1027427812190347    
  40099536936043.89     3.469150376615025e+21   13895.564132072657  3.4652679790878423e-10  5.572056871612281e+17   9.909550711086169e-06   1.094324897393392     
  39820791396269.95     3.4210875180746497e+21  13895.564132072577  3.489524854941441e-10   5.533323606367669e+17   9.985196136362753e-06   1.086034557262086     
  39543983511688.086    3.373690539683683e+21   13895.564132072495  3.513951528926014e-10   5.49485958924293e+17    1.0060841561639378e-05  1.07786888389968      
  39269099812997.06     3.3269502160987535e+21  13895.564132072413  3.538549189628479e-10   5.456662948602674e+17   1.0136486986916044e-05  1.0698250862591092    
  38996126924525.33     3.2808574497877194e+21  13895.564132072332  3.5633190339558617e-10  5.4187318258218816e+17  1.0212132412192755e-05  1.0619004559910004    
  38725051563580.22     3.235403269258928e+21   13895.564132072248  3.5882622671935345e-10  5.381064375195475e+17   1.028777783746951e-05   1.0540923644033127    
  38455860539801.555    3.1905788273149996e+21  13895.564132072164  3.6133801030638717e-10  5.3436587638484966e+17  1.0363423262746308e-05  1.0463982595541403    
  38188540754519.86     3.1463753993308136e+21  13895.564132072079  3.6386737637853014e-10  5.3065131716469286e+17  1.043906868802315e-05   1.0388156634709065    
  37923079200118.98     3.1027843815553483e+21  13895.564132071995  3.6641444801317803e-10  5.269625791109127e+17   1.0514714113300038e-05  1.0313421694895988    
  37659462959403.1      3.0597972894370455e+21  13895.56413207191   3.6897934914926847e-10  5.232994827317863e+17   1.0590359538576974e-05  1.0239754397080327    
  37397679204968.27     3.0174057559723816e+21  13895.564132071822  3.7156220459331144e-10  5.196618497832993e+17   1.0666004963853958e-05  1.0167132025474903    
  37137715198578.18     2.9756015300773114e+21  13895.564132071737  3.7416314002546275e-10  5.1604950326047226e+17  1.0741650389130987e-05  1.0095532504173867    
  36879558290544.32     2.934376474981277e+21   13895.56413207165   3.76782282005639e-10    5.124622673887472e+17   1.0817295814408067e-05  1.002493437477923     
  36623195919110.5      2.893722566643474e+21   13895.56413207156   3.794197579796765e-10   5.088999676154353e+17   1.0892941239685199e-05  0.9955316774959606    
  36368615609841.555    2.853631892191047e+21   13895.564132071473  3.820756962855323e-10   5.053624306012229e+17   1.096858666496238e-05   0.9886659417896203    
  36115804975016.39     2.814096648378929e+21   13895.564132071382  3.8475022615952897e-10  5.018494842117368e+17   1.1044232090239615e-05  0.9818942572573485    
  35864751713025.164    2.7751091400710223e+21  13895.564132071293  3.8744347774264365e-10  4.9836095750916883e+17  1.1119877515516902e-05  0.9752147044874294    
  35615443607770.72     2.736661778742415e+21   13895.564132071202  3.901555820868401e-10   4.9489668074395725e+17  1.1195522940794241e-05  0.9686254159441401    
  35367868528074.16     2.698747081002352e+21   13895.564132071111  3.928866711614458e-10   4.914564853465278e+17   1.1271168366071638e-05  0.962124574226944     
  35122014427084.51     2.6613576671376667e+21  13895.56413207102   3.956368778595738e-10   4.8804020391909037e+17  1.1346813791349088e-05  0.9557104103993197    
  34877869341692.613    2.624486259676398e+21   13895.564132070927  3.9840633600458866e-10  4.84647670227494e+17    1.1422459216626595e-05  0.9493812023839912    
  34635421391948.926    2.5881256819713025e+21  13895.564132070835  4.0119518035661856e-10  4.812787191931383e+17   1.149810464190416e-05   0.9431352734215048    
  34394658780485.48     2.55226885680299e+21    13895.56413207074   4.040035466191126e-10   4.779331868849399e+17   1.157375006718178e-05   0.9369709905892568    
  34155569791941.836    2.5169088050024174e+21  13895.564132070647  4.068315714454442e-10   4.7461091051135654e+17  1.1649395492459464e-05  0.9308867633782156    
